X,Y,Curve
739547.8263,3008250.573,0
739538.3685,3008249.811,0
739528.4463,3008246.084,0
739519.4978,3008243.023,0
739510.3461,3008239.29,0
739501.2577,3008235.567,0
739492.43,3008232.155,0
739483.6426,3008229.017,0
739474.9167,3008225.926,0
739465.6807,3008222.503,0
739456.8365,3008219.225,0
739447.7488,3008215.928,0
739439.1089,3008212.8,0
739429.955,3008209.332,0
739420.8846,3008205.855,0
739411.7379,3008202.274,0
739402.4755,3008198.471,0
739393.3714,3008194.731,0
739383.9714,3008191.125,0
739374.6947,3008187.648,0
739365.5388,3008184.283,0
739356.4265,3008181.179,0
739347.4428,3008178.142,0
739338.2217,3008174.714,0
739328.858,3008170.866,0
739319.5188,3008167.029,0
739309.9607,3008163.901,0
739300.4169,3008161.064,0
739290.8327,3008158.214,0
739281.4161,3008155.414,0
739271.9531,3008152.601,0
739262.5286,3008149.641,0
739253.192,3008145.981,0
739243.8216,3008142.216,0
739234.6513,3008138.619,0
739225.4938,3008135.285,0
739216.4512,3008132.008,0
739207.4034,3008128.587,0
739198.1925,3008124.777,0
739189.0752,3008121.002,0
739179.7807,3008117.468,0
739170.4132,3008114.484,0
739161.019,3008111.493,0
739151.5987,3008108.212,0
739142.2615,3008104.526,0
739132.8367,3008100.805,0
739123.3428,3008097.533,0
739113.538,3008094.857,0
739103.751,3008092.188,0
739094.2616,3008089.094,0
739085.0569,3008085.324,0
739075.979,3008081.605,0
739066.7773,3008077.938,0
739057.5361,3008074.413,0
739048.3136,3008070.896,0
739039.0698,3008067.507,0
739030.0167,3008064.411,0
739020.8571,3008061.279,0
739011.7387,3008058.071,0
739002.5643,3008054.684,0
738993.3268,3008051.274,0
738984.1301,3008047.91,0
738974.7335,3008044.526,0
738965.4363,3008041.176,0
738956.1336,3008038.016,0
738946.8472,3008035.189,0
738937.6376,3008032.387,0
738928.3416,3008029.391,0
738919.1176,3008026.107,0
738909.8433,3008022.803,0
738900.5815,3008019.625,0
738891.3918,3008016.717,0
738882.1213,3008013.785,0
738872.8758,3008010.741,0
738863.4117,3008007.358,0
738853.9831,3008003.98,0
738844.5959,3008000.568,0
738835.1558,3007997.018,0
738825.771,3007993.484,0
738816.218,3007989.876,0
738806.762,3007986.272,0
738797.1221,3007982.597,0
738787.4324,3007978.982,0
738777.9636,3007975.581,0
738768.1886,3007972.071,0
738758.704,3007968.718,0
738749.1687,3007965.376,0
738739.473,3007961.963,0
738730.138,3007958.618,1
738720.6505,3007955.213,0
738711.3167,3007951.751,0
738702.0214,3007948.25,0
738692.7359,3007944.804,0
738683.4311,3007941.482,0
738674.1145,3007938.16,0
738664.7902,3007934.976,0
738655.4335,3007931.831,0
738646.1475,3007928.716,0
738636.8031,3007925.602,0
738627.4773,3007922.496,0
738618.2506,3007919.291,0
738608.9428,3007915.919,0
738599.7512,3007912.589,0
738590.4553,3007909.371,0
738581.1222,3007906.185,0
738571.9328,3007903.049,0
738562.552,3007899.863,0
738553.2855,3007896.716,0
738544.0135,3007893.54,0
738534.5947,3007890.221,0
738525.3108,3007886.942,0
738515.9398,3007883.658,0
738506.6239,3007880.45,0
738497.3089,3007877.243,0
738487.977,3007874.042,0
738478.6703,3007870.87,0
738469.2739,3007867.669,0
738459.9752,3007864.437,0
738450.5857,3007861.082,0
738441.2307,3007857.74,0
738431.8741,3007854.583,0
738422.361,3007851.623,0
738412.9849,3007848.706,0
738403.6899,3007845.544,0
738394.6545,3007842.076,0
738385.5955,3007838.599,0
738376.3866,3007835.133,0
738367.1413,3007831.755,0
738357.7532,3007828.325,0
738348.433,3007824.972,0
738339.1006,3007821.69,0
738329.6864,3007818.379,0
738320.331,3007815.156,0
738310.8578,3007811.977,0
738301.4249,3007808.812,0
738292.035,3007805.577,0
738282.6349,3007802.258,0
738273.1215,3007798.898,0
738263.6484,3007795.658,0
738254.258,3007792.499,0
738244.7101,3007789.284,0
738235.418,3007786.117,0
738226.2265,3007782.98,0
738216.8664,3007779.746,0
738207.4829,3007776.431,0
738198.0266,3007773.09,0
738188.6,3007769.856,0
738179.2177,3007766.689,0
738169.8265,3007763.522,0
738160.5585,3007760.439,0
738151.2166,3007757.338,0
738141.9367,3007754.209,0
738132.5609,3007750.907,0
738123.1203,3007747.575,0
738113.8087,3007744.337,0
738104.4211,3007741.133,0
738095.1458,3007737.966,0
738085.7801,3007734.867,0
738076.4045,3007731.81,0
738067.1266,3007728.779,0
738057.5628,3007725.404,0
738048.1465,3007722.043,0
738038.6845,3007718.687,0
738029.328,3007715.461,0
738020.0521,3007712.274,0
738010.6692,3007709.082,0
738001.342,3007705.985,0
737991.9468,3007702.869,0
737982.6036,3007699.723,0
737973.2596,3007696.518,0
737963.8851,3007693.302,0
737954.5808,3007690.097,0
737945.1417,3007686.837,0
737935.8266,3007683.62,0
737926.4377,3007680.433,0
737916.9556,3007677.24,0
737907.6075,3007674.093,0
737898.1806,3007670.915,0
737888.8651,3007667.774,0
737879.5615,3007664.637,0
737870.1169,3007661.555,0
737860.7476,3007658.531,0
737851.3004,3007655.481,0
737841.8803,3007652.416,0
737832.4082,3007649.325,0
737823.0109,3007646.258,0
737813.5769,3007643.298,0
737804.0206,3007640.356,0
737794.6387,3007637.468,0
737785.1673,3007634.543,0
737775.6852,3007631.608,0
737766.2159,3007628.677,0
737756.6373,3007625.758,0
737747.1175,3007622.927,0
737737.4597,3007620.054,0
737727.8997,3007617.25,0
737718.4259,3007614.557,0
737708.807,3007611.824,0
737699.2852,3007609.1,0
737689.7061,3007606.309,0
737680.1665,3007603.528,0
737670.5378,3007600.789,0
737660.9054,3007598.242,0
737651.3617,3007595.73,0
737641.7384,3007593.177,0
737632.2098,3007590.596,0
737622.6398,3007588.003,0
737613.0627,3007585.418,0
737603.5561,3007582.877,0
737593.9134,3007580.302,0
737584.336,3007577.785,0
737574.5957,3007575.329,0
737564.8239,3007572.871,0
737555.1293,3007570.414,0
737545.4956,3007567.936,0
737535.9882,3007565.49,0
737526.343,3007563.042,0
737516.7304,3007560.653,0
737507.1089,3007558.261,0
737497.3766,3007555.858,0
737487.7861,3007553.505,0
737478.0999,3007551.128,0
737468.5195,3007548.869,0
737458.929,3007546.668,0
737449.2586,3007544.45,0
737439.6186,3007542.248,0
737429.8581,3007540.023,0
737420.2447,3007537.832,0
737410.5772,3007535.664,0
737400.9491,3007533.514,0
737391.4612,3007531.396,0
737381.6762,3007529.257,0
737372.0303,3007527.157,0
737362.3587,3007525.052,0
737352.6584,3007522.994,0
737342.9797,3007520.95,0
737333.2298,3007518.89,0
737323.5008,3007517.093,0
737313.6372,3007515.329,0
737303.8824,3007513.585,0
737293.9958,3007511.986,0
737283.9738,3007510.418,0
737274.0715,3007508.867,0
737264.1803,3007507.253,0
737254.4231,3007505.631,0
737244.6125,3007504.001,0
737234.8081,3007502.357,0
737225.1018,3007500.72,0
737215.2995,3007499.067,0
737205.5977,3007497.347,0
737195.8487,3007495.557,0
737186.0759,3007493.762,0
737176.4058,3007492.097,0
737166.6349,3007490.513,0
737157.0124,3007488.953,0
737147.1815,3007487.398,0
737137.2382,3007485.864,0
737127.364,3007484.341,0
737117.5003,3007482.791,0
737107.838,3007481.234,0
737098.0097,3007479.651,0
737088.2365,3007478.085,0
737078.4887,3007476.537,0
737068.6293,3007474.972,0
737058.8469,3007473.524,0
737048.8854,3007472.213,0
737039.01,3007470.915,0
737029.1435,3007469.614,0
737019.28,3007468.309,0
737009.5017,3007467.015,0
736999.6304,3007465.706,0
736989.9095,3007464.412,0
736980.1322,3007463.112,0
736970.3411,3007461.809,0
736960.6529,3007460.52,0
736950.8232,3007459.212,0
736941.0943,3007457.822,0
736931.245,3007456.295,0
736921.4362,3007454.776,0
736911.6509,3007453.322,0
736901.7959,3007451.936,0
736892.0567,3007450.566,0
736882.1605,3007449.212,0
736872.304,3007447.904,0
736862.4802,3007446.6,0
736852.5627,3007445.322,0
736842.786,3007444.096,0
736832.9183,3007442.858,0
736823.1788,3007441.656,0
736813.4656,3007440.475,0
736803.7139,3007439.288,0
736793.9653,3007437.993,0
736784.0503,3007436.582,0
736774.2471,3007435.186,0
736764.4228,3007433.748,0
736754.6002,3007432.276,0
736744.8349,3007430.813,0
736734.9364,3007429.423,0
736725.1321,3007428.138,0
736715.215,3007426.837,0
736705.2706,3007425.718,0
736695.3425,3007424.786,0
736685.3284,3007423.844,0
736675.5563,3007422.632,0
736665.7677,3007421.147,0
736656.0452,3007419.673,0
